지점,지점명,일시,평균기온(°C),일강수량(mm)
108,서울,2025-01-01,2.6,
108,서울,2025-01-02,.5,
108,서울,2025-01-03,-1.1,0
108,서울,2025-01-04,-.1,
108,서울,2025-01-05,1.2,6.7
108,서울,2025-01-06,1,3
108,서울,2025-01-07,-2.6,.1
108,서울,2025-01-08,-3.4,0
108,서울,2025-01-09,-9.7,0
108,서울,2025-01-10,-7.3,
108,서울,2025-01-11,-5.1,
108,서울,2025-01-12,-3.4,
108,서울,2025-01-13,-.4,1.3
108,서울,2025-01-14,2.3,.1
108,서울,2025-01-15,-3.5,
108,서울,2025-01-16,-.5,0
108,서울,2025-01-17,-.5,
108,서울,2025-01-18,1,
108,서울,2025-01-19,3.8,
108,서울,2025-01-20,3.9,0
108,서울,2025-01-21,2.4,
108,서울,2025-01-22,3.6,
108,서울,2025-01-23,2,
108,서울,2025-01-24,3.1,
108,서울,2025-01-25,5.2,
108,서울,2025-01-26,4.6,
108,서울,2025-01-27,.2,5.6
108,서울,2025-01-28,-3.9,.1
108,서울,2025-01-29,-4.6,.2
108,서울,2025-01-30,-3.8,
108,서울,2025-01-31,-.8,2.4
108,서울,2025-02-01,1.6,
108,서울,2025-02-02,1.5,0
108,서울,2025-02-03,-4.1,
108,서울,2025-02-04,-9,
108,서울,2025-02-05,-8.6,
108,서울,2025-02-06,-5.6,2.3
108,서울,2025-02-07,-8,.4
108,서울,2025-02-08,-7.9,
108,서울,2025-02-09,-4.7,
108,서울,2025-02-10,-2.6,0
108,서울,2025-02-11,.5,
108,서울,2025-02-12,.5,2.5
108,서울,2025-02-13,.2,
108,서울,2025-02-14,3.7,
108,서울,2025-02-15,4.1,
108,서울,2025-02-16,4.3,
108,서울,2025-02-17,-.3,
108,서울,2025-02-18,-2.3,
108,서울,2025-02-19,-3,
108,서울,2025-02-20,-2.9,
108,서울,2025-02-21,-2.5,
108,서울,2025-02-22,-2.3,
108,서울,2025-02-23,-3.6,
108,서울,2025-02-24,-1.3,
108,서울,2025-02-25,2.1,
108,서울,2025-02-26,3.7,
108,서울,2025-02-27,5.8,
108,서울,2025-02-28,7.8,
108,서울,2025-03-01,8.5,.6
108,서울,2025-03-02,8.3,11.8
108,서울,2025-03-03,3.1,10.4
108,서울,2025-03-04,2.5,4
108,서울,2025-03-05,4.8,0
108,서울,2025-03-06,4.8,
108,서울,2025-03-07,5.3,
108,서울,2025-03-08,5.8,
108,서울,2025-03-09,6.9,
108,서울,2025-03-10,8,
108,서울,2025-03-11,9.4,
108,서울,2025-03-12,8.5,0
108,서울,2025-03-13,8.9,
108,서울,2025-03-14,12.4,
108,서울,2025-03-15,12.6,0
108,서울,2025-03-16,4.9,.8
108,서울,2025-03-17,2.5,.4
108,서울,2025-03-18,2.1,9.9
108,서울,2025-03-19,2.4,
108,서울,2025-03-20,8.2,
108,서울,2025-03-21,11.6,
108,서울,2025-03-22,12.8,
108,서울,2025-03-23,15.2,
108,서울,2025-03-24,15.5,0
108,서울,2025-03-25,12.7,
108,서울,2025-03-26,15.5,
108,서울,2025-03-27,13.7,.3
108,서울,2025-03-28,6.5,
108,서울,2025-03-29,3.3,0
108,서울,2025-03-30,3.3,0
108,서울,2025-03-31,7.7,
108,서울,2025-04-01,10.1,
108,서울,2025-04-02,8.9,0
108,서울,2025-04-03,9.8,
108,서울,2025-04-04,10.6,
108,서울,2025-04-05,8,22.8
108,서울,2025-04-06,10.3,0
108,서울,2025-04-07,13.5,
108,서울,2025-04-08,13.8,
108,서울,2025-04-09,12.7,.8
108,서울,2025-04-10,13.2,0
108,서울,2025-04-11,16.2,
108,서울,2025-04-12,12.9,15.4
108,서울,2025-04-13,5.5,4.2
108,서울,2025-04-14,4.4,7.4
108,서울,2025-04-15,8.2,
108,서울,2025-04-16,14.6,
108,서울,2025-04-17,19.7,
108,서울,2025-04-18,18.6,0
108,서울,2025-04-19,15.3,9.2
108,서울,2025-04-20,16.7,
108,서울,2025-04-21,20.7,
108,서울,2025-04-22,17.8,34.8
108,서울,2025-04-23,16.8,
108,서울,2025-04-24,14.7,
108,서울,2025-04-25,12.5,
108,서울,2025-04-26,13.8,
108,서울,2025-04-27,14.9,
108,서울,2025-04-28,15.1,
108,서울,2025-04-29,14.8,
108,서울,2025-04-30,18.4,
108,서울,2025-05-01,14.7,21.1
108,서울,2025-05-02,13.4,0
108,서울,2025-05-03,11.2,7.3
108,서울,2025-05-04,13.7,
108,서울,2025-05-05,12.1,
108,서울,2025-05-06,14.4,
108,서울,2025-05-07,14.9,
108,서울,2025-05-08,17.4,
108,서울,2025-05-09,15.1,17.6
108,서울,2025-05-10,12.3,14.1
108,서울,2025-05-11,14.7,0
108,서울,2025-05-12,17,
108,서울,2025-05-13,19.9,
108,서울,2025-05-14,21,
108,서울,2025-05-15,19.5,1.1
108,서울,2025-05-16,19.4,51.3
108,서울,2025-05-17,18.3,2.2
108,서울,2025-05-18,15.6,
108,서울,2025-05-19,16.1,1.6
108,서울,2025-05-20,22.2,1
108,서울,2025-05-21,25.5,
108,서울,2025-05-22,23.9,.8
108,서울,2025-05-23,19.4,1.2
108,서울,2025-05-24,15.6,4.3
108,서울,2025-05-25,17.4,
108,서울,2025-05-26,19.7,
108,서울,2025-05-27,20.8,
108,서울,2025-05-28,20.8,0
108,서울,2025-05-29,21.2,
108,서울,2025-05-30,22.2,
108,서울,2025-05-31,21.5,
108,서울,2025-06-01,22.6,
108,서울,2025-06-02,21,0
108,서울,2025-06-03,20.9,
108,서울,2025-06-04,20.5,
108,서울,2025-06-05,21.7,
108,서울,2025-06-06,24.1,
108,서울,2025-06-07,23.7,.1
108,서울,2025-06-08,25.1,.6
108,서울,2025-06-09,24.2,0
108,서울,2025-06-10,21.7,0
108,서울,2025-06-11,22.7,
108,서울,2025-06-12,25.5,
108,서울,2025-06-13,24,1.5
108,서울,2025-06-14,25.6,
108,서울,2025-06-15,26.3,11.8
108,서울,2025-06-16,23,20
108,서울,2025-06-17,24.8,
108,서울,2025-06-18,25.5,
108,서울,2025-06-19,28.1,.8
108,서울,2025-06-20,24.1,51.1
108,서울,2025-06-21,22,.2
108,서울,2025-06-22,23.3,
108,서울,2025-06-23,26.1,
108,서울,2025-06-24,25,2.3
108,서울,2025-06-25,20.9,8
108,서울,2025-06-26,22.2,1.1
108,서울,2025-06-27,25,0
108,서울,2025-06-28,26.2,.6
108,서울,2025-06-29,27.1,0
108,서울,2025-06-30,28.2,
108,서울,2025-07-01,28.6,.9
108,서울,2025-07-02,28.6,0
108,서울,2025-07-03,28.3,0
108,서울,2025-07-04,27.2,0
108,서울,2025-07-05,28.4,
108,서울,2025-07-06,29.1,
108,서울,2025-07-07,29.1,
108,서울,2025-07-08,31.3,11.8
108,서울,2025-07-09,31.9,
108,서울,2025-07-10,31.4,
108,서울,2025-07-11,30.2,
108,서울,2025-07-12,30.3,
108,서울,2025-07-13,27.7,0
108,서울,2025-07-14,24.2,13.6
108,서울,2025-07-15,23.6,4
108,서울,2025-07-16,23.3,73.1
108,서울,2025-07-17,23.3,75.5
108,서울,2025-07-18,24.7,16.1
108,서울,2025-07-19,23.9,84
108,서울,2025-07-20,27.7,14.8
108,서울,2025-07-21,28.5,0
108,서울,2025-07-22,28.8,.1
108,서울,2025-07-23,28.9,
108,서울,2025-07-24,29.8,
108,서울,2025-07-25,31.1,
108,서울,2025-07-26,32.3,
108,서울,2025-07-27,32.8,
108,서울,2025-07-28,32.2,
108,서울,2025-07-29,32,
108,서울,2025-07-30,32.1,
108,서울,2025-07-31,30.9,
