지점,지점명,일시,평균기온(°C),일강수량(mm)
108,서울,2015-01-01,-7.7,
108,서울,2015-01-02,-6,
108,서울,2015-01-03,-2.7,
108,서울,2015-01-04,2.5,0
108,서울,2015-01-05,3.7,0.4
108,서울,2015-01-06,-3.2,3
108,서울,2015-01-07,-5.5,
108,서울,2015-01-08,-5.1,
108,서울,2015-01-09,-2.1,
108,서울,2015-01-10,-0.3,
108,서울,2015-01-11,-0.4,
108,서울,2015-01-12,-2.7,
108,서울,2015-01-13,0.2,
108,서울,2015-01-14,2.5,
108,서울,2015-01-15,2.8,
108,서울,2015-01-16,0.8,0.3
108,서울,2015-01-17,-4.1,
108,서울,2015-01-18,-1.3,4
108,서울,2015-01-19,-0.1,0.1
108,서울,2015-01-20,-0.9,
108,서울,2015-01-21,2.6,
108,서울,2015-01-22,3.1,
108,서울,2015-01-23,1.2,
108,서울,2015-01-24,3.7,
108,서울,2015-01-25,3,3
108,서울,2015-01-26,3.6,0.5
108,서울,2015-01-27,-3.6,
108,서울,2015-01-28,-4.1,
108,서울,2015-01-29,-1.1,
108,서울,2015-01-30,-3.3,
108,서울,2015-01-31,-4.5,
108,서울,2015-02-01,-3,
108,서울,2015-02-02,-0.6,
108,서울,2015-02-03,0.6,
108,서울,2015-02-04,0.4,
108,서울,2015-02-05,-0.1,
108,서울,2015-02-06,0.4,
108,서울,2015-02-07,1.2,
108,서울,2015-02-08,-9.8,
108,서울,2015-02-09,-5.7,0.2
108,서울,2015-02-10,1.7,
108,서울,2015-02-11,2.7,
108,서울,2015-02-12,-2.2,
108,서울,2015-02-13,-1.6,
108,서울,2015-02-14,2,
108,서울,2015-02-15,7.9,
108,서울,2015-02-16,5,10.5
108,서울,2015-02-17,1.9,0.5
108,서울,2015-02-18,0.8,0
108,서울,2015-02-19,2.2,
108,서울,2015-02-20,5.2,
108,서울,2015-02-21,5.7,8
108,서울,2015-02-22,3.5,2.5
108,서울,2015-02-23,0.9,
108,서울,2015-02-24,2.1,
108,서울,2015-02-25,5.4,0.5
108,서울,2015-02-26,1.2,0.5
108,서울,2015-02-27,-1.3,
108,서울,2015-02-28,2.7,
108,서울,2015-03-01,2.4,0
108,서울,2015-03-02,3.9,
108,서울,2015-03-03,2.8,5.5
108,서울,2015-03-04,-2.1,
108,서울,2015-03-05,-0.3,
108,서울,2015-03-06,2.9,
108,서울,2015-03-07,4.2,
108,서울,2015-03-08,7.7,
108,서울,2015-03-09,2.2,
108,서울,2015-03-10,-3.4,
108,서울,2015-03-11,0.4,
108,서울,2015-03-12,2.1,
108,서울,2015-03-13,5.6,0.1
108,서울,2015-03-14,4.3,
108,서울,2015-03-15,5.5,
108,서울,2015-03-16,9.8,
108,서울,2015-03-17,10.7,0
108,서울,2015-03-18,10.7,1.5
108,서울,2015-03-19,12.4,
108,서울,2015-03-20,13.4,
108,서울,2015-03-21,11.7,
108,서울,2015-03-22,8.3,
108,서울,2015-03-23,4.6,
108,서울,2015-03-24,5.4,
108,서울,2015-03-25,6.5,
108,서울,2015-03-26,7.9,
108,서울,2015-03-27,9.1,
108,서울,2015-03-28,9.7,
108,서울,2015-03-29,10.5,
108,서울,2015-03-30,13.2,
108,서울,2015-03-31,12.9,2.5
108,서울,2015-04-01,12.9,2.5
108,서울,2015-04-02,14.8,28
108,서울,2015-04-03,10.6,3.5
108,서울,2015-04-04,13.5,0
108,서울,2015-04-05,10.5,0.5
108,서울,2015-04-06,10.3,
108,서울,2015-04-07,8.4,0
108,서울,2015-04-08,8.3,
108,서울,2015-04-09,9.6,
108,서울,2015-04-10,11.6,
108,서울,2015-04-11,13.5,
108,서울,2015-04-12,14.9,
108,서울,2015-04-13,12,6.5
108,서울,2015-04-14,6.9,10.5
108,서울,2015-04-15,11.1,1
108,서울,2015-04-16,9.9,7
108,서울,2015-04-17,10.5,
108,서울,2015-04-18,15.2,0
108,서울,2015-04-19,14.5,12
108,서울,2015-04-20,12.2,5.5
108,서울,2015-04-21,14,
108,서울,2015-04-22,14.2,0
108,서울,2015-04-23,14.5,
108,서울,2015-04-24,15.7,
108,서울,2015-04-25,15.9,
108,서울,2015-04-26,17.3,
108,서울,2015-04-27,18.5,
108,서울,2015-04-28,20.3,0
108,서울,2015-04-29,17,3.5
108,서울,2015-04-30,21.2,
108,서울,2015-05-01,21,
108,서울,2015-05-02,20.7,0.5
108,서울,2015-05-03,18.3,3.5
108,서울,2015-05-04,16.1,
108,서울,2015-05-05,14.2,
108,서울,2015-05-06,15.4,
108,서울,2015-05-07,16.5,
108,서울,2015-05-08,16.7,
108,서울,2015-05-09,17.6,
108,서울,2015-05-10,19.1,
108,서울,2015-05-11,18.4,14
108,서울,2015-05-12,13.3,9.5
108,서울,2015-05-13,17.4,0
108,서울,2015-05-14,20.4,
108,서울,2015-05-15,19.1,
108,서울,2015-05-16,18,
108,서울,2015-05-17,18.6,
108,서울,2015-05-18,17.7,
108,서울,2015-05-19,14.8,1
108,서울,2015-05-20,16.3,
108,서울,2015-05-21,18.7,
108,서울,2015-05-22,20,
108,서울,2015-05-23,20.6,
108,서울,2015-05-24,21,
108,서울,2015-05-25,20.8,
108,서울,2015-05-26,21.5,
108,서울,2015-05-27,23.2,
108,서울,2015-05-28,24.3,
108,서울,2015-05-29,23.8,
